"obs_site","ant","tag_id","run","rtype_name","filename","rel_site","rel_rkm","subbasin","subbasin_name","rel_date","etype","date","length","count","transported","year","mindate","maxdate"
"JDJ","FULL FLOW BYPASS","3DD.007786F066","Summer","Wild Fish or Natural Production","JDB15355.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-23,"Observation",2016-05-08 21:31:32,NA,1,FALSE,NA,NA,NA
"ESANIS",NA,"3DD.007786F066","Summer","Wild Fish or Natural Production","JDB15355.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-23,"Recovery",2016-09-19 23:00:00,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F071","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-01,"Mark",2016-10-31 11:00:00,162,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F07E","Summer","Wild Fish or Natural Production","JDB-2016-313-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-14,"Mark",2016-11-08 08:00:00,150,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F086","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-10,"Mark",2016-05-07 10:30:00,176,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F086","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-10,"Observation",2016-05-10 19:00:52,NA,1,FALSE,NA,NA,NA
"PRV","ARRAY","3DD.007786F086","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-10,"Observation",2016-05-15 08:32:30,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F0EF","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-10-31,"Mark",2016-10-31 11:00:00,127,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F0F2","Summer","Wild Fish or Natural Production","JDB-2016-063-STP.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-03-31,"Mark",2016-03-03 09:00:00,192,1,FALSE,NA,NA,NA
"JDJ","RIVER EXIT","3DD.007786F0F2","Summer","Wild Fish or Natural Production","JDB-2016-063-STP.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-03-31,"Observation",2016-04-09 21:28:01,NA,3,FALSE,NA,NA,NA
"B2J","RIVER EXIT","3DD.007786F0F2","Summer","Wild Fish or Natural Production","JDB-2016-063-STP.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-03-31,"Observation",2016-04-11 20:08:55,NA,2,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F104","Summer","Wild Fish or Natural Production","JDB-2016-363-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-30,"Mark",2016-12-30 10:00:00,115,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F111","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-15,"Mark",2016-05-07 10:30:00,171,1,FALSE,NA,NA,NA
"PRV","ARRAY","3DD.007786F111","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-15,"Observation",2016-05-17 17:55:53,NA,1,FALSE,NA,NA,NA
"MCJ","FULL FLOW BYPASS","3DD.007786F111","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-15,"Observation",2016-05-19 21:43:17,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F113","Summer","Wild Fish or Natural Production","JDB16109.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-23,"Mark",2016-04-18 09:30:00,156,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F114","Summer","Wild Fish or Natural Production","JDB-2016-342-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-13,"Mark",2016-12-07 09:00:00,107,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F114","Summer","Wild Fish or Natural Production","JDB-2016-342-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-13,"Observation",2016-12-13 15:23:49,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F136","Summer","Wild Fish or Natural Production","JDB16011.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-11,"Mark",2016-01-11 11:30:00,137,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F136","Summer","Wild Fish or Natural Production","JDB16011.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-11,"Observation",2016-01-11 17:00:50,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F165","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Mark",2015-12-18 10:00:00,114,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F165","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2015-12-18 16:06:56,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F19B","Summer","Wild Fish or Natural Production","JDB15355.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-21,"Mark",2015-12-21 11:00:00,116,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1AD","Summer","Wild Fish or Natural Production","JDB-2016-306-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-03,"Mark",2016-11-01 08:00:00,135,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F1AD","Summer","Wild Fish or Natural Production","JDB-2016-306-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-03,"Observation",2016-11-03 09:45:43,NA,1,FALSE,NA,NA,NA
"MCJ","RIVER EXIT","3DD.007786F1AD","Summer","Wild Fish or Natural Production","JDB-2016-306-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-03,"Observation",2017-04-08 19:02:01,NA,2,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1B6","Summer","Wild Fish or Natural Production","JDB-2016-308-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-04,"Mark",2016-11-03 08:30:00,105,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1B7","Summer","Wild Fish or Natural Production","JDB15365.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-07,"Mark",2015-12-31 09:00:00,100,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786F1B7","Summer","Wild Fish or Natural Production","JDB15365.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-07,"Observation",2016-01-07 14:51:28,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1C0","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-15,"Mark",2016-05-07 10:30:00,210,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F1C0","Summer","Wild Fish or Natural Production","JDB16128.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-15,"Observation",2016-05-15 10:52:08,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1CB","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-26,"Mark",2016-04-26 10:00:00,180,1,FALSE,NA,NA,NA
"MCJ","RIVER EXIT","3DD.007786F1CB","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-26,"Observation",2016-05-02 20:31:27,NA,2,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1CE","Summer","Wild Fish or Natural Production","JDB-2016-097-STP.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-13,"Mark",2016-04-06 10:00:00,150,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1F5","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-06,"Mark",2016-11-29 08:30:00,153,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F1F5","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-06,"Observation",2016-12-06 15:41:43,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1F6","Summer","Wild Fish or Natural Production","JDB-2016-319-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-21,"Mark",2016-11-14 08:00:00,122,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F1F6","Summer","Wild Fish or Natural Production","JDB-2016-319-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-21,"Observation",2016-11-21 14:52:53,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F1F9","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-29,"Mark",2016-04-26 10:00:00,159,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F204","Summer","Wild Fish or Natural Production","JDB-2016-306-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-02,"Mark",2016-11-01 08:00:00,116,1,FALSE,NA,NA,NA
"JDJ","RIVER EXIT","3DD.007786F204","Summer","Wild Fish or Natural Production","JDB-2016-306-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-11-02,"Observation",2017-05-10 04:28:34,NA,2,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F250","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Mark",2015-12-18 10:00:00,128,1,FALSE,NA,NA,NA
