"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.00773A51E2","BCC","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2015-05-23 23:56:20,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","BO4","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-05 08:30:27,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","ICH","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-11 18:24:14,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","LMA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-12 12:35:49,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","TD1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-07 14:19:38,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","GOA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-13 13:20:24,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","GOA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-13 13:20:25,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","BO4","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-05 08:23:50,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","GRA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-15 13:32:47,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","JDALD1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Passive Recapture",2017-07-08 05:48:20,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","MC1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-10 10:52:48,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","TD1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-07 14:19:39,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","MC1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-10 10:52:49,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","ICH","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-11 18:24:13,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","GRA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-15 13:32:46,"H",171,FALSE,"sockeye"
"3DD.00773A51E2","LMA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-12 12:35:50,"H",171,FALSE,"sockeye"
"3DD.00773A8213","GOA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-12 06:15:18,"W",111,FALSE,"sockeye"
"3DD.00773A8213","GRA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-13 16:25:34,"W",111,FALSE,"sockeye"
"3DD.00773A8213","LMA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-11 08:37:10,"W",111,FALSE,"sockeye"
