"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.0077951208","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-10 21:20:43","H",NA,TRUE,"sockeye"
"3DD.00779512DF","LMJ","A-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-14 07:12:49","H",NA,TRUE,"sockeye"
"3DD.00779512DF","LMJ","A-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-14 07:12:30","H",NA,FALSE,"sockeye"
"3DD.0077952094","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-09 09:23:20","H",NA,FALSE,"sockeye"
"3DD.0077952094","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-09 09:23:19","H",NA,FALSE,"sockeye"
"3DD.007795578C","TWX","MATRIX TRAWL [CURRENT]","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-27 12:30:57","H",NA,FALSE,"sockeye"
"3DD.007795578C","TWX","MATRIX TRAWL [CURRENT]","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-27 12:32:04","H",NA,FALSE,"sockeye"
"3DD.007795578C","GOJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 21:43:06","H",NA,FALSE,"sockeye"
"3DD.007795578C","GOJ","ADULT FISH RETURN","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 21:46:51","H",NA,FALSE,"sockeye"
"3DD.0077955B12","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-28 14:57:59","H",NA,TRUE,"sockeye"
"3DD.0077955B12","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-28 14:58:00","H",NA,TRUE,"sockeye"
"3DD.0077955B74","GOJ","DIVERSION SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 04:14:01","H",NA,FALSE,"sockeye"
"3DD.0077955B74","GOJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 04:14:03","H",NA,FALSE,"sockeye"
"3DD.0077955B74","GOJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 06:29:47","H",NA,FALSE,"sockeye"
"3DD.0077955BBA","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-12 04:14:41","H",NA,FALSE,"sockeye"
"3DD.0077955BBA","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-12 04:14:39","H",NA,FALSE,"sockeye"
"3DD.0077956492","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-17 03:01:35","H",NA,FALSE,"sockeye"
"3DD.0077956C4A","GRJ","ADULT FISH RETURN","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-21 12:47:12","H",NA,FALSE,"sockeye"
"3DD.0077957358","TWX","MATRIX TRAWL [CURRENT]","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-29 04:02:19","H",NA,FALSE,"sockeye"
"3DD.0077957358","TWX","MATRIX TRAWL [CURRENT]","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-29 04:02:21","H",NA,FALSE,"sockeye"
"3DD.0077957361","LMJ","B-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-14 18:56:56","H",NA,TRUE,"sockeye"
"3DD.0077957361","LMJ","B-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-14 18:56:38","H",NA,FALSE,"sockeye"
"3DD.0077957544","GRJ","RACEWAY WEST / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-09 03:08:03","H",NA,TRUE,"sockeye"
"3DD.0077957544","GRJ","A-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-09 03:07:58","H",NA,FALSE,"sockeye"
"3DD.007795767B","ICHFFB","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 22:39:31","H",NA,FALSE,"sockeye"
"3DD.007795767B","ICHFFB","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 22:39:33","H",NA,FALSE,"sockeye"
"3DD.0077957FD2","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-15 21:21:59","H",NA,FALSE,"sockeye"
"3DD.0077957FD2","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-15 21:21:56","H",NA,FALSE,"sockeye"
"3DD.007795852E","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-13 02:21:30","H",NA,TRUE,"sockeye"
"3DD.007795852E","GRJ","RCWY-10 GATE","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-13 02:21:17","H",NA,TRUE,"sockeye"
"3DD.0077958D16","GOJ","SAMPLE ROOM","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-26 07:12:54","H",NA,TRUE,"sockeye"
"3DD.0077958D16","GOJ","B-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-25 20:49:29","H",NA,FALSE,"sockeye"
"3DD.0077958EE3","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-17 22:27:56","H",NA,FALSE,"sockeye"
"3DD.0077958EE3","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-17 22:27:58","H",NA,FALSE,"sockeye"
"3DD.00779597DF","GOJ","A-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-22 12:39:16","H",NA,TRUE,"sockeye"
"3DD.00779597DF","GOJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-20 20:10:36","H",NA,FALSE,"sockeye"
"3DD.00779597DF","GOJ","A-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-22 12:39:17","H",NA,TRUE,"sockeye"
"3DD.0077959A5E","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-15 22:40:23","H",NA,TRUE,"sockeye"
"3DD.0077959A5E","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-15 22:40:22","H",NA,TRUE,"sockeye"
"3DD.0077959CDC","ICHFFB","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-16 03:55:24","H",NA,FALSE,"sockeye"
"3DD.0077959CDC","ICHFFB","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-16 03:55:27","H",NA,FALSE,"sockeye"
"3DD.0077959CDC","GOJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 04:27:35","H",NA,FALSE,"sockeye"
"3DD.0077959CDC","GOJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 04:27:36","H",NA,FALSE,"sockeye"
"3DD.0077959EFE","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-20 06:55:20","H",NA,FALSE,"sockeye"
"3DD.0077959EFE","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-20 06:55:21","H",NA,FALSE,"sockeye"
"3DD.007795AD1E","LMJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-23 23:37:01","H",NA,FALSE,"sockeye"
"3DD.007795AD1E","LMJ","B-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-24 15:38:39","H",NA,TRUE,"sockeye"
"3DD.007795AD1E","LMJ","B-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-20","Observation","2017-05-24 15:38:38","H",NA,TRUE,"sockeye"
"3DD.007795AFFC","MCJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-24 17:36:48","H",NA,FALSE,"sockeye"
"3DD.007795AFFC","MCJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-24 17:36:50","H",NA,FALSE,"sockeye"
"3DD.007795B07A","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-27 02:48:12","H",NA,FALSE,"sockeye"
"3DD.007795B07A","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-27 02:48:10","H",NA,FALSE,"sockeye"
"3DD.007795B2A2","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-10 00:39:08","H",NA,TRUE,"sockeye"
"3DD.007795B2A2","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-10 00:39:07","H",NA,TRUE,"sockeye"
"3DD.007795B2DB","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-23 00:49:45","H",NA,TRUE,"sockeye"
"3DD.007795B2DB","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-23 00:49:44","H",NA,TRUE,"sockeye"
"3DD.007795B6B8","JDJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-25 03:14:06","H",NA,FALSE,"sockeye"
"3DD.007795B6B8","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-14 01:58:57","H",NA,FALSE,"sockeye"
